 ,Area,Mean,Min,Max,IntDen,RawIntDen
361,273,0,0,0,0,0
362,343,0,0,0,0,0
363,226,0,0,0,0,0
364,366,0,0,0,0,0
365,175,0,0,0,0,0
366,83,0,0,0,0,0
367,418,0,0,0,0,0
368,489,0,0,0,0,0
369,237,0,0,0,0,0
370,80,0,0,0,0,0
371,164,0,0,0,0,0
372,195,0,0,0,0,0
373,191,0,0,0,0,0
374,266,0,0,0,0,0
375,210,0,0,0,0,0
376,500,0,0,0,0,0
377,461,0,0,0,0,0
378,314,0,0,0,0,0
379,418,0,0,0,0,0
380,355,0,0,0,0,0
381,251,0,0,0,0,0
382,443,0,0,0,0,0
383,317,0,0,0,0,0
384,484,0,0,0,0,0
385,225,0,0,0,0,0
386,337,0,0,0,0,0
387,323,0,0,0,0,0
388,453,0,0,0,0,0
389,481,0,0,0,0,0
390,454,0,0,0,0,0
391,420,0,0,0,0,0
392,485,0,0,0,0,0
393,441,0,0,0,0,0
394,244,0,0,0,0,0
395,59,0,0,0,0,0
396,287,0,0,0,0,0
397,150,0,0,0,0,0
398,263,0,0,0,0,0
399,365,0,0,0,0,0
400,340,0,0,0,0,0
401,323,0,0,0,0,0
402,254,0,0,0,0,0
403,362,0,0,0,0,0
404,80,0,0,0,0,0
405,326,0,0,0,0,0
406,141,0,0,0,0,0
407,318,0,0,0,0,0
408,212,0,0,0,0,0
409,205,0,0,0,0,0
410,187,0,0,0,0,0
411,215,0,0,0,0,0
412,147,0,0,0,0,0
413,489,0,0,0,0,0
414,421,0,0,0,0,0
415,440,0,0,0,0,0
416,401,0,0,0,0,0
417,414,0,0,0,0,0
418,32,0,0,0,0,0
419,94,0,0,0,0,0
420,449,0,0,0,0,0
421,153,0,0,0,0,0
422,331,0,0,0,0,0
423,119,0,0,0,0,0
424,248,0,0,0,0,0
425,201,0,0,0,0,0
426,363,0,0,0,0,0
427,228,0,0,0,0,0
428,308,0,0,0,0,0
429,280,0,0,0,0,0
430,402,0,0,0,0,0
431,392,0,0,0,0,0
432,481,0,0,0,0,0
433,85,0,0,0,0,0
434,481,0,0,0,0,0
435,199,0,0,0,0,0
436,483,0,0,0,0,0
437,492,0,0,0,0,0
438,453,0,0,0,0,0
439,401,0,0,0,0,0
440,262,0,0,0,0,0
441,183,0,0,0,0,0
442,345,0,0,0,0,0
443,380,0,0,0,0,0
444,342,0,0,0,0,0
445,446,0,0,0,0,0
446,382,0,0,0,0,0
447,312,0,0,0,0,0
448,350,0,0,0,0,0
449,252,0,0,0,0,0
450,449,0,0,0,0,0
451,479,0,0,0,0,0
452,162,0,0,0,0,0
453,449,0,0,0,0,0
454,495,0,0,0,0,0
455,401,0,0,0,0,0
456,220,0,0,0,0,0
457,25,0,0,0,0,0
458,388,0,0,0,0,0
459,464,0,0,0,0,0
460,268,0,0,0,0,0
461,349,0,0,0,0,0
462,397,0,0,0,0,0
463,261,0,0,0,0,0
464,436,0,0,0,0,0
465,440,0,0,0,0,0
466,328,0,0,0,0,0
467,162,0,0,0,0,0
468,158,0,0,0,0,0
469,467,0,0,0,0,0
470,355,0,0,0,0,0
471,336,0,0,0,0,0
472,345,0,0,0,0,0
473,427,0,0,0,0,0
474,222,0,0,0,0,0
475,239,0,0,0,0,0
476,340,0,0,0,0,0
477,232,0,0,0,0,0
478,300,0,0,0,0,0
479,450,0,0,0,0,0
480,375,0,0,0,0,0
481,481,0,0,0,0,0
482,228,0,0,0,0,0
